Cohort,Strategy,Type,N,TP,TN,FP,FN,Sensitivity,Sensitivity_CI_Lower,Sensitivity_CI_Upper,Specificity,Specificity_CI_Lower,Specificity_CI_Upper,PPV,PPV_CI_Lower,PPV_CI_Upper,NPV,NPV_CI_Lower,NPV_CI_Upper,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,Prevalence,Positive_Rate,Referrals_Avoided
ProspectiveTest,Single: M1 (Radiomics-Only),Single,100,29,43,18,10,0.7435897435897436,0.5891834407831603,0.8543121945900741,0.7049180327868853,0.5811059794277964,0.8044498124172395,0.6170212765957447,0.47426566956413574,0.7420931890357799,0.8113207547169812,0.6864154091329746,0.8941467489231409,0.72,0.6251197129007884,0.7986031478881379,0.39,0.47,
ProspectiveTest,Single: M2 (Radiomics+A),Single,100,29,49,12,10,0.7435897435897436,0.5891834407831603,0.8543121945900741,0.8032786885245902,0.6869005942449246,0.8837219776857282,0.7073170731707317,0.5552053227700284,0.8239081237388657,0.8305084745762712,0.71536779263512,0.9052416065081895,0.78,0.6892964648501421,0.8499871761539459,0.39,0.41,
ProspectiveTest,Single: M3 (Fusion-Net),Single,100,32,49,12,7,0.8205128205128205,0.6733195433811838,0.9102273452678089,0.8032786885245902,0.6869005942449246,0.8837219776857282,0.7272727272727273,0.5815112690754881,0.8365361837615662,0.875,0.7637452344180986,0.9381093130428289,0.81,0.7222115462093562,0.8748524849023126,0.39,0.44,
ProspectiveTest,Single: M4 (Clinical-A),Single,100,32,36,25,7,0.8205128205128205,0.6733195433811838,0.9102273452678089,0.5901639344262295,0.46499792273006924,0.7046466256817464,0.5614035087719298,0.43278009454231503,0.6822730310020559,0.8372093023255814,0.7002759410625283,0.91883372652938,0.68,0.5833738138954762,0.7633085267500092,0.39,0.57,
ProspectiveTest,Single: M5 (Clinical-Net),Single,100,32,34,27,7,0.8205128205128205,0.6733195433811838,0.9102273452678089,0.5573770491803278,0.4330336769314388,0.6749219447851712,0.5423728813559322,0.41657836610103466,0.6629869414814409,0.8292682926829268,0.6873738759959581,0.91474748022405,0.66,0.5627772885472463,0.7453847920265183,0.39,0.59,
ProspectiveTest,stepwise1 (M4->M1),Stepwise,100,25,53,8,14,0.6410256410256411,0.4841814855954854,0.7725791454100714,0.8688524590163934,0.7619811980700654,0.932019227250999,0.7575757575757576,0.5897538017044264,0.8716828662282499,0.7910447761194029,0.6792819349311752,0.8712431481097087,0.78,0.6892964648501421,0.8499871761539459,0.39,0.33,0.43
ProspectiveTest,stepwise2 (M5->M1),Stepwise,100,26,54,7,13,0.6666666666666666,0.5097739439934599,0.7936704381040163,0.8852459016393442,0.7815569152759893,0.9432879733926779,0.7878787878787878,0.6224835500784931,0.8932397846697919,0.8059701492537313,0.695808877745558,0.8829482608358841,0.8,0.7111708344068411,0.8666330666689676,0.39,0.33,0.41
ProspectiveTest,stepwise3 (M5->M2),Stepwise,100,25,56,5,14,0.6410256410256411,0.4841814855954854,0.7725791454100714,0.9180327868852459,0.8220533819707465,0.9644804333931265,0.8333333333333334,0.6643564949358397,0.9266345762815146,0.8,0.6918335550374695,0.8769526075163705,0.81,0.7222115462093562,0.8748524849023126,0.39,0.3,0.41
ProspectiveTest,stepwise4 (M4->M3),Stepwise,100,27,52,9,12,0.6923076923076923,0.5357874562585069,0.8143406769308886,0.8524590163934426,0.742767647052789,0.9203883149206723,0.75,0.5892954623327166,0.8624952233700517,0.8125,0.7002563943589847,0.8893535682705119,0.79,0.7002003116591013,0.858343459380847,0.39,0.36,0.43
ProspectiveTest,stepwise5 (M5->M3),Stepwise,100,27,52,9,12,0.6923076923076923,0.5357874562585069,0.8143406769308886,0.8524590163934426,0.742767647052789,0.9203883149206723,0.75,0.5892954623327166,0.8624952233700517,0.8125,0.7002563943589847,0.8893535682705119,0.79,0.7002003116591013,0.858343459380847,0.39,0.36,0.41
